filename,transcript,duration
common_voice_en_42498572.mp3,A HUMAN BEING CANNOT BE SAFELY TRUSTED SOLELY TO THE MERCY OF ANOTHER,6.559
common_voice_en_42216083.mp3,ONE AREA WHERE TRAINING SPECIFIC BEHAVIOR HAS GAINED SIGNIFICANT ATTENTION IS IN SPORTS,6.9
common_voice_en_42466107.mp3,HOWEVER THE SERIES WAS LAUNCHED WITHOUT THIS TECHNOLOGY,4.615
common_voice_en_41970688.mp3,WILEY GRADUATED FROM SAULT STE,4.092
common_voice_en_42437221.mp3,LENNY HART WAS ALSO THE GRATEFUL DEAD'S ORIGINAL MONEY MANAGER,5.244
common_voice_en_42511436.mp3,HE LATER COMMENTED THAT HE DID NOT SUPPORT THE DEATH OF NORWEGIAN MILITARY PERSONNEL,7.316
common_voice_en_42511438.mp3,THE TRUTH WILL COME OUT ONE DAY AS IT HAPPENS ALL THE TIME,5.407
common_voice_en_41977227.mp3,COLONEL BEALL SERVED THROUGHOUT THE WAR AS THE ONLY COMMANDANT OF THE MARINE CORPS,6.199
common_voice_en_41977272.mp3,IT WAS NAMED A NOTABLE BOOK OF THE YEAR BY THE NEW YORK TIMES,4.939
common_voice_en_41940683.mp3,HIS SERVANTS OBEYED HIS ORDERS THE MONKS BEING POWERLESS TO INTERFERE,4.976
common_voice_en_41940779.mp3,TO DEAL WITH THIS UNICODE PROVIDES THE MECHANISM OF CANONICAL EQUIVALENCE,5.588
common_voice_en_42593468.mp3,RAFF WAS BORN IN LACHEN IN SWITZERLAND,3.896
common_voice_en_42593505.mp3,WHILE A LARGE PERCENTAGE CONSISTS OF INCOHERENT OR CHAOTIC SOUND REFERRED TO AS NOISE,5.947
common_voice_en_41944826.mp3,SHARITYLIGHT RUNS IN USER SPACE RATHER THAN KERNEL SPACE,5.083
common_voice_en_41944852.mp3,IT STARS MICHAEL GROSS ALEXIS ARQUETTE AND HILARY SWANK,5.623
common_voice_en_41958320.mp3,HER GRAVE IS LOCATED AT THE HIETZING CEMETERY,4.688
common_voice_en_41958333.mp3,FUTURE EXPLORATION WILL HAVE TO INVOLVE THE SMALLER BASINS AS WELL AS,8.0
common_voice_en_41969910.mp3,STEVENSON WAS BORN IN LINDSAY ONTARIO,5.155
common_voice_en_42182410.mp3,FOLLOW THE LINK TO FIND THE LIST OF WORLD ALLIANCES,6.668
common_voice_en_42264420.mp3,A TEASPOON IS TYPICALLY CHARACTERIZED BY ITS SMALL SIZE AND LONG HANDLE,8.036
common_voice_en_41918312.mp3,THESE DEMOS HELPED BUILD HYPE AROUND THE BAND,5.263
common_voice_en_41918321.mp3,ONCE A CAT BURGLAR A MASTER AMONG JEWEL THIEVES,4.327
common_voice_en_41918336.mp3,TEAMS ARE SEEDED ACCORDING TO THEIR REGULARSEASON RECORD,4.508
common_voice_en_41910645.mp3,IT IS LOCATED ABOUT WEST OF RICHFIELD,3.284
common_voice_en_41910679.mp3,THIS MATURE WOOD IS MAINLY OAK AND BEECH ON CLAY SOILS,4.688
common_voice_en_42604282.mp3,IF ANYTHING I WAS MORE COMPETENT IN HANDLING PHYSICAL AFFAIRS,4.255
common_voice_en_42510046.mp3,THE VILLAGE IS LOCATED BY THE DEER RIVER,3.356
common_voice_en_42510071.mp3,A FEW TENS OF PLANETS HAVE BEEN FOUND AROUND RED GIANTS,5.335
common_voice_en_42510072.mp3,MANY POSSIBILITIES OF WHAT COULD BE CHANGED AFTER RECESS WERE DISCUSSED,4.867
common_voice_en_41944462.mp3,HIS LONG CAREER IN RADIO INCLUDED STARRING IN THE SERIES DANGEROUSLY YOURS,6.415
common_voice_en_41944463.mp3,IT WAS A TIME OF CORRUPTION AND DECEITFUL POLITICS,4.688
common_voice_en_41944465.mp3,A LARGE PART OF THE ISLAND IS NATURALSTATE CONIFEROUS FOREST WITH SOME HERBRICH PARTS,7.064
common_voice_en_41923376.mp3,THIS GAVE FRANCE THE RACE LEAD WITH GREAT BRITAIN SECOND,5.048
common_voice_en_41923388.mp3,ETHEL WAS INVOLVED WITH EDUCATION SERVING ON THE COMMITTEE OF THE FROEBEL SOCIETY,5.768
common_voice_en_41923390.mp3,MOREOVER MANY OF RIKER'S EMPIRICAL CLAIMS HAVE BEEN REFUTED,4.976
common_voice_en_42095418.mp3,I BELIEVE THAT COMPASSION AND EMPATHY ARE CRUCIAL IN FOSTERING HEALTHY RELATIONSHIPS,6.415
common_voice_en_42095438.mp3,THE STARS IN CARINA HAVE ALSO BEEN FOUND TO BE METALPOOR,4.795
common_voice_en_42356474.mp3,IT SEEMS THAT THE EVIL COOKIES HAVE COMPLETELY REPLACED THE LUCKY ONES,4.255
common_voice_en_42356503.mp3,THE MAJORITY OF THE LAND OF THE FORMER TOWN IS STILL ABOVE WATER,4.003
common_voice_en_42527824.mp3,EACH RADIAL GATE HAS A CLEAR SPAN,4.056
common_voice_en_42527894.mp3,THE GROUP THEN SING THE BRIDGE AND END THE SONG REPEATING THE CHORUS TWICE,7.296
common_voice_en_42527906.mp3,HE BUILT THE FIRST HOUSE THERE,2.796
common_voice_en_42527991.mp3,SHE ALSO PORTRAYED FORENSIC PATHOLOGIST AMY SHORT IN THE FRANCIS XAVIER THRILLER POE,7.404
common_voice_en_41921340.mp3,THE FILMING WAS DONE WITH A PROFESSIONAL CREW,4.508
common_voice_en_41921355.mp3,THE CUTOUTS IN WHITE PLASTER MAKE THE FACADE LOOK LIKE LACE,5.048
common_voice_en_41921376.mp3,WALSH WAS BORN IN MELBOURNE,3.607
common_voice_en_41921406.mp3,LAWRENCE DIRECTED HIS FIRST MUSIC VIDEOS FOR THE SAN JOSE BAND A WESTERN FRONT,7.027
common_voice_en_41921421.mp3,SHE IS MARRIED TO MATHIEU SWEENEY,3.788
common_voice_en_41942247.mp3,UNION IRON WORKS BUILT A NUMBER OF SHIPS FOR THE UNITED STATES NAVY,6.308
common_voice_en_41942339.mp3,CURRENTLY IT ALSO HOUSES THE AMERICAN AIRPOWER MUSEUM,5.66
common_voice_en_41942375.mp3,IT CAN BE SEEN FROM THE LATITUDE OF ALEXANDRIA OR MOBILE ALABAMA AND SOUTHWARD,9.44
common_voice_en_41942416.mp3,KIRK REFUSES AND THE LANDING PARTY IS HELD HOSTAGE,5.768
common_voice_en_41949226.mp3,HE RESIGNED WITH THE CUBS ON ANOTHER MINOR LEAGUE CONTRACT THE NEXT DAY,6.848
common_voice_en_41984164.mp3,FOLLOWUP TESTS CAN INCLUDE PAINFUL BIOPSIES WHICH CAN RESULT IN EXCESSIVE BLEEDING AND INFECTION,5.623
common_voice_en_41984166.mp3,HE WON THE COLLEGE FOOTBALL NATIONAL CHAMPIONSHIP WITH THE FLORIDA STATE UNIVERSITY SEMINOLES,5.228
common_voice_en_41984174.mp3,THIS WAS WITNESSED BY A LARGE NUMBER OF PERSONS AND SWORN TO ON AFFIDAVIT,4.904
common_voice_en_41984175.mp3,LESS CREATIVE TACTICS WERE USED ON A THIRD PROSPECTIVE CHALLENGER,4.075
common_voice_en_41984176.mp3,THE ROGERS COUNTY SHERIFF'S OFFICE TEMPORARILY TOOK OVER POLICING DUTIES,4.364
common_voice_en_41984186.mp3,NARDA RAVANNA WAS BORN IN BOSTON MASSACHUSETTS,3.607
common_voice_en_42479042.mp3,MANY LISTENERS WERE EXCITED BY THE RAUNCHY EARTHY SOUNDS OF THEIR GROWLS AND MUTES,6.343
common_voice_en_42479115.mp3,ARE YOU A REDDIT USER,2.635
common_voice_en_42479117.mp3,THE USER TERMINALS WERE MANUFACTURED BY SAMSUNG,4.723
common_voice_en_42479121.mp3,NOW IN FIRE WE MAY CONSIDER THREE THINGS,3.788
common_voice_en_42498922.mp3,HERE THE BEST IDEAS COME TO ME,2.924
common_voice_en_42498924.mp3,INITIALLY THE SCHOOL WAS LOCATED IN GOOD HOPE GEORGIA,3.824
common_voice_en_42498928.mp3,DURING THE WAR YEARS THE HOUSE WAS OCCUPIED BY SOLDIERS,4.436
common_voice_en_41971291.mp3,THE SEAT OF THE MUNICIPALITY IS THE TOWN OF PARAMYTHIA,4.76
common_voice_en_41971323.mp3,SOME SPECIES HYBRIDS AND CULTIVARS OF VERBENA ARE USED AS ORNAMENTAL PLANTS,6.199
common_voice_en_41971437.mp3,HART'S NIECE NATALYA IS A PROFESSIONAL WRESTLER,4.255
common_voice_en_41971694.mp3,CHISHMY IS THE NEAREST RURAL LOCALITY,3.535
common_voice_en_41971697.mp3,UNLIKE HIS CONTEMPORARIES CUNNINGHAM WOULD ALSO ROUTINELY CONFIRM HIS IDENTIFICATIONS THROUGH FIELD SURVEYS,7.244
common_voice_en_41971750.mp3,ROSEN SHARED AN APARTMENT FOR FIVE YEARS WITH STELLA MEMBER MICHAEL SHOWALTER,6.091
common_voice_en_41971778.mp3,EVERY YEAR SINCE THEN THE VOTE HAS BEEN WON BY O HOLY NIGHT,5.551
common_voice_en_41971860.mp3,THIS ESTATE WAS ROUGHLY TWOTHIRDS OF THE MODERN SUBURB OF EAST RYDE,5.768
common_voice_en_41971869.mp3,HE WAS PROMOTED TO HEAD COACH AFTER STEINAR NILSEN WAS DISMISSED,4.292
common_voice_en_42067967.mp3,EVENTUALLY A SODIUM LEAK RESULTED IN A FIRE AND THE FACILITY WAS SHUT DOWN,6.524
common_voice_en_42123899.mp3,I LEAVE MY NECKLACES BRACELETS AND EARRINGS TO LOUISE SMITH,5.768
common_voice_en_42123909.mp3,WEATHER FORECASTING IS ANOTHER CRITICAL ASPECT OF SAILING YACHT MANAGEMENT,6.668
common_voice_en_42123922.mp3,BEING AN OFFICEBASED TRANSLATOR COMES WITH ITS OWN SET OF ADVANTAGES AND DISADVANTAGES,7.567
common_voice_en_42124330.mp3,NEITHER THE FATHER NOR THE SON ATTENDED THE MEETING,3.896
common_voice_en_42145746.mp3,THE FIRST STEP IN THIS CHAIN MIGHT BE WATERMARKING,4.436
common_voice_en_42145770.mp3,HE WAS CONSIDERED A RELATIVELY LIBERAL SUPPORTER OF A CONSTITUTIONAL MONARCHY,5.875
common_voice_en_42145861.mp3,ONCE THE PLAN IS FINALIZED THE IMPLEMENTATION PHASE BEGINS,4.904
common_voice_en_42160853.mp3,YOU MAY HAVE LESS CONTROL OVER YOUR SCHEDULE PROJECTS AND CLIENT INTERACTIONS,6.056
common_voice_en_42358814.mp3,HE THEN STARTED TO STUDY BUSINESS ADMINISTRATION BUT BROKE OFF AFTER A FEW SEMESTERS,6.343
common_voice_en_42358911.mp3,ONE SUCH ATTEMPT IS BASED ON INFOGAP DECISION THEORY,4.688
common_voice_en_42358923.mp3,ABOUT FIFTEEN SPECIES ARE KNOWN IN THE GENUS,4.255
common_voice_en_42387424.mp3,IT IS OFTEN WINDY AT THE PEAK DUE TO THE LACK OF TREES,5.083
common_voice_en_42387426.mp3,HE ATTENDED LA MIRADA HIGH SCHOOL,3.607
common_voice_en_42387486.mp3,THE EFFECT BECAME A FAVOURITE,2.888
common_voice_en_42387497.mp3,OTHERWISE ROOMS MAY BE NUMBERED IN SOME KIND OF A RATIONAL SCHEME,5.335
common_voice_en_42387498.mp3,YOU CAN FIND THE SOURCE CODE HERE,2.995
common_voice_en_42387510.mp3,TYPICALLY IT ENCLOSES A METAL GROMMET FOR REINFORCEMENT AND TO REDUCE WEAR,5.984
common_voice_en_42387511.mp3,DOUGLASHAMILTON WAS ALSO INVOLVED IN COUNTERING THE GERMAN TASK FORCE OPERATING NEAR CEYLON,7.207
common_voice_en_42387512.mp3,THE TOWN IS SURROUNDED BY A MUD WALL AND DITCH,4.364
common_voice_en_42387523.mp3,THERE ARE A VARIETY OF DIESEL PARTICULATE FILTER TECHNOLOGIES ON THE MARKET,5.984
common_voice_en_42387569.mp3,SURPRISINGLY HE DECIDED OTHERWISE CHOOSING TO MEET CONSTANTINE IN OPEN BATTLE,6.128
common_voice_en_42387598.mp3,THE TWO DATED AND WENT TO STATE COLLEGE TOGETHER,4.075
common_voice_en_42387606.mp3,AT TIMES THE EXPERIENCE IS UNCANNY,4.184
common_voice_en_42401091.mp3,NORRIS FOUGHT TWICE MORE AFTER LOSING HIS TITLE,4.327
common_voice_en_42401105.mp3,PETTY SUGGESTED THAT HE CALL DONOVAN WHICH HE DID,4.543
common_voice_en_42401155.mp3,LONGO IS THE HEAD INSTRUCTOR,3.067
common_voice_en_42428061.mp3,THE FATE OF THE SIX CRECY ENGINES REMAINS UNKNOWN,5.263
common_voice_en_42037987.mp3,TRACTION CONTROL WAS ALSO ADDED,4.795
common_voice_en_42037995.mp3,FAMOUSLY HE ONCE SAID OF SUCH AN UNCLEAR PAPER IT IS NOT EVEN WRONG,6.883
common_voice_en_42038020.mp3,TODAY MANY ARE ATTRACTED TO ITS FOLK MUSIC ASPECT,5.623
common_voice_en_42041475.mp3,THE PRIMARY REASON WAS PRESSURE TO USE NONLEAD BULLETS,7.136
common_voice_en_42056178.mp3,THE LAST CHILD WAS ALSO A BOY FAIR AND BONNY,6.056
common_voice_en_42056179.mp3,TAGLINE AT LAST,3.607
common_voice_en_42056186.mp3,THE RULER OF THAUMIEL IS SATAN,5.083
common_voice_en_42056200.mp3,DURING THE GAME DOWNIE GOT INTO A SCUFFLE WITH MAPLE LEAFS FORWARD JASON BLAKE,8.036
common_voice_en_42056243.mp3,THE SHIPBUILDING INDUSTRY TENDS TO BE MORE FRAGMENTED IN EUROPE THAN IN ASIA,6.776
common_voice_en_42056288.mp3,BARTRAM GREW UP IN SCOTLAND NORTHERN IRELAND AND WEST AFRICA,7.244
common_voice_en_42116383.mp3,FROM THAT DAY ON JACK WAS NO LONGER JUST THE HANDYMAN OF WILLOW CREEK,7.064
common_voice_en_42164700.mp3,LEARNING RUSSIAN CAN BE BOTH CHALLENGING AND REWARDING,4.795
common_voice_en_42238557.mp3,THE CURRENT MAYOR OF PROTIVIN IS MICHAEL LENSING,7.604
common_voice_en_42238649.mp3,THERE WAS ALSO MEDIA SPECULATION ABOUT CHERNIN'S HAVING A ROLE IN YAHOO,9.043
common_voice_en_42238716.mp3,ESPLEN IS PART OF PITTSBURGH AND IS IN THE PITTSBURGH CITY SCHOOL DISTRICT,8.323
common_voice_en_42238749.mp3,AN EXAMPLE OF A SAFELIFE COMPONENT IS THE HELICOPTER ROTOR BLADE,8.504
common_voice_en_42238820.mp3,AUTHOR HUNTER S THOMPSON REMARKED HE WAS DISAPPOINTED HE WAS NOT ON IT,9.764
common_voice_en_42312376.mp3,A DISJUNCT SUBSET OF ITS RANGE OCCURS FROM CENTRAL COLORADO TO NORTHWESTERN NEW MEXICO,9.584
common_voice_en_42312550.mp3,REMAINS OF THE LARGE TOWER CAN BE SEEN IN SCRAPS AT THE GIFFORDTOWN MUSEUM,6.776
common_voice_en_42312628.mp3,THE SAVANE RIVER FLOWS ON THE SOUTH BANK OF THE CALDWELL RIVER,6.308
common_voice_en_42312652.mp3,THEY WOULD ALSO DROP BOMBS ON FROZEN RIVERS TO BREAK UP ICE FLOWS,7.244
common_voice_en_42312747.mp3,THE AMERICAN REFORM PARTY IS NOT A POLITICAL PARTY IN THE CONVENTIONAL SENSE,6.343
common_voice_en_42312771.mp3,THE NAME GREYHOUND IS GENERALLY BELIEVED TO COME FROM THE OLD ENGLISH GRIGHUND,6.955
common_voice_en_42356748.mp3,AER ARANN ISLANDS IS HEADQUARTERED IN INVERIN,6.596
common_voice_en_42356785.mp3,SEVEN OF THE SONGS THAT WERE PERFORMED WERE FROM BEAUTIFUL VISION,7.136
common_voice_en_42357635.mp3,VERMA REMAINS IN PLACE AS ITS LEADER,5.228
common_voice_en_42357648.mp3,HIS BROTHER PETER REICHENSPERGER WAS ALSO ACTIVE IN GERMAN POLITICS,7.963
common_voice_en_42505992.mp3,INSTEAD OF FAVORING INDIVIDUALS WITH EXTREME PHENOTYPES IT FAVORS THE INTERMEDIATE VARIANTS,8.684
common_voice_en_42516884.mp3,DURING SEVERAL MISSIONS THE PLAYER MUST MAKE SUPPLY DROPS TO THE SCIENTISTS WORKING UNDERGROUND,8.396
common_voice_en_42516885.mp3,HE ATTENDED THE DOWNTOWN COMMUNITY SCHOOL IN MANHATTAN'S EAST VILLAGE,6.668
common_voice_en_42516896.mp3,SEE SPHERICAL DESIGN,3.103
common_voice_en_41917153.mp3,AS PLAYERS DO WELL THE PLAYER CHARACTER'S COMPOSURE MEETING INCREASES,11.636
common_voice_en_41917154.mp3,ALTHOUGH EXTINCTION IS COMPARED WITH HEMISPATIAL NEGLECT THE TWO ARE DIFFERENT DISORDERS,11.924
common_voice_en_41917187.mp3,DURING THE TIME HE WAS WITH MILLER HURLEY WAS ONE OF THE KEY SOLOISTS,6.776
common_voice_en_41917197.mp3,NADASWARAM IS REFERRED IN MANY ANCIENT TAMIL TEXTS,5.947
common_voice_en_41917205.mp3,WITH THAT TASK ACCOMPLISHED HE FELT HE COULD RETIRE AT A HIGH POINT,6.343
common_voice_en_41917228.mp3,HARRISON COPRODUCED THE RECORDING WITH PERCUSSIONIST RAY COOPER,7.567
common_voice_en_41917231.mp3,ENVIRONMENT VARIABLES ARE A FACILITY PROVIDED BY SOME OPERATING SYSTEMS,6.056
common_voice_en_41917242.mp3,THE NESTING SEASON FOR THESE TURTLES IS APRIL TO AUGUST,6.596
common_voice_en_41917262.mp3,MANY HIGHLY SUCCESSFUL TELEVISION SERIES HAVE BEEN KNOWN AS PERIOD PIECES,6.776
common_voice_en_41917265.mp3,WEEKES' CAREER BEGAN WITH THE OWEN SOUND PLATERS OF THE ONTARIO HOCKEY LEAGUE,7.747
common_voice_en_41917266.mp3,I TRY TO KEEP IT OUT OF MY POSTS,4.867
common_voice_en_41917319.mp3,THE EXAMPLE OF SUCH USE IS GIVEN IN THE RC DOCUMENTATION,6.308
common_voice_en_41917371.mp3,THE SEAT HEIGHT IS SLIGHTLY LOWER ON THE CUSTOM,4.976
common_voice_en_41917375.mp3,THE FIRST POSITIVE RESULT OF THIS EFFORT WAS THAT VENEZUELA REGAINED A CREDITELIGIBILITY RATING,9.043
common_voice_en_41917383.mp3,CHINESE BURIAL COINS ARE TYPICALLY NOT INCLUDED IN CHINESE COIN CATALOGUES,7.027
common_voice_en_41917385.mp3,SKY NEWS IRELAND WAS BROADCAST FROM ITS STUDIOS IN DUBLIN,6.668
common_voice_en_41917391.mp3,THE VILLAGE ITSELF HAS PRESERVED A NUMBER OF ELEMENTS TYPICAL OF ALPINE ARCHITECTURE,7.136
common_voice_en_41917392.mp3,IN OXYGEN ABSENCE THE PH OF THE MATRIX DROPS,5.228
common_voice_en_41917395.mp3,TOWARDS THE VIDEO'S CLIMAX THE CROWD CHEERS CAREY AND BEGIN CLAPPING AND CHANTING PRAISES,8.216
common_voice_en_41917459.mp3,THE PERMANENT EXHIBITION WITH A SINGLE STEP WAS DESIGNED BY MATTER PRACTICE,7.604
common_voice_en_41917462.mp3,IT HAS ALSO BEEN EXPANDED TO SERVE ITS PURPOSE AS A MUSEUM,5.444
common_voice_en_41917466.mp3,HE CAME FROM AN EMINENT FAMILY,4.003
common_voice_en_41917468.mp3,THEY OBTAIN THE WATER FROM WELLS AND SOME STREAMS NEARBY,5.875
common_voice_en_41917472.mp3,THE GAME FEATURES FIFTEEN PLAYABLE CHARACTERS ON LAUNCH,4.795
common_voice_en_41917474.mp3,WE WERE TOLD TO HURRY UP BECAUSE WE WERE BEING WAITED FOR,4.904
common_voice_en_41917478.mp3,HOWEVER REFERENCE MARKERS ARE PROVIDED AT INTERVALS ALONG THE MAJOR CORRIDORS,7.244
common_voice_en_41917490.mp3,THE DEPARTMENT IS HISTORICALLY A PROMINENT PRODUCER OF GOLD SILVER AND COPPER,8.287
common_voice_en_41917493.mp3,THE LISTING OF SHARES ON THE STOCK EXCHANGES WAS DISCONTINUED AT SHORT NOTICE,7.244
common_voice_en_41917497.mp3,ITS AREA WAS NOT LISTED BECAUSE THE VILLAGE WAS UNSURVEYED,6.524
common_voice_en_41917515.mp3,ONE SKELETON DANCES PART OF THE CHARLESTON,5.803
common_voice_en_41917519.mp3,THEIR GREATEST CHART SUCCESS CAME WITH THEIR SUMMER HIT SINGLE I LOVE YOU,7.136
common_voice_en_41917524.mp3,THIS IS KNOWN AS SKINNY DIPPING,4.003
common_voice_en_41917525.mp3,SHE DIED FROM HER INJURIES LATER THAT SAME DAY,5.083
common_voice_en_41920788.mp3,IBRAHIM WAS TO CONTROL AN AREA THAT ENCOMPASSED EASTERN ALGERIA TUNISIA AND TRIPOLITANIA,10.447
common_voice_en_41920793.mp3,THE FUNCTION OF THESE STRUCTURES IS UNKNOWN,5.947
common_voice_en_41920806.mp3,SAFEGUARDING LABOUR OF MINORS,3.643
common_voice_en_41920809.mp3,HE FINISHED HIS CAREER AFTER SHORT STINTS WITH THE GIANTS AND LIONS,5.875
common_voice_en_41920828.mp3,SHE WORKED HARD TO ESTABLISH STRONG LINKS WITH UNIVERSITY STUDENTS,5.623
common_voice_en_41920842.mp3,FLOWERING PLANTS OR ANGIOSPERMS ARE DIVIDED INTO TWO LARGE GROUPS,6.524
common_voice_en_41920850.mp3,HE IS QUICKLY KILLED BY SUPERBOYPRIME AMIDST THE CHAOS,6.308
common_voice_en_41920855.mp3,THE COMPETITION IS OPEN TO YOUNG SKIPPERS ACROSS ALL CLASSES,5.696
common_voice_en_41920860.mp3,LINGUIST NOAM CHOMSKY PROPOSED A BIOLOGICAL COMPONENT OF LANGUAGE WHICH HE TERMED UNIVERSAL GRAMMAR,9.223
common_voice_en_41920861.mp3,ACCORDING TO AN OLD ACCOUNT THERE WAS AN IMPORTANT EXCEPTION TO THE RULE,5.588
common_voice_en_41927938.mp3,THERE'S ANOTHER ONE OF MINE SAID LUCIE,4.615
common_voice_en_41927965.mp3,THE COLLEGE ALSO HAS PATHWAYS THAT LEAD TO CREDENTIALING,6.128
common_voice_en_41928094.mp3,THEN YOU'RE NOT THE MAN,3.175
common_voice_en_41928123.mp3,AGRICULTURAL PRODUCTION IS AN IMPORTANT CONTRIBUTOR TO JAMAICA'S ECONOMY,5.228
common_voice_en_41928171.mp3,THESE CIRCUITS ARE VERY FREQUENTLY FED FROM TRANSFORMERS AND HAVE SIGNIFICANT RESISTANCE,8.504
common_voice_en_41928350.mp3,DOCTOR FRANK PERALTA IS STABBED TO DEATH IN HIS APARTMENT ONE NIGHT,8.287
common_voice_en_41928371.mp3,DAMER'S FRIENDS INCLUDED A NUMBER OF INFLUENTIAL WHIGS AND ARISTOCRATS,6.776
common_voice_en_41928388.mp3,THE LABEL SPECIALIZES IN DOWNTEMPO MUSIC,4.723
common_voice_en_41928403.mp3,THEY THEN FORMED THE GROUP TAT MING PAIR WHICH WAS LATER SIGNED BY POLYGRAM,6.883
common_voice_en_41928453.mp3,BUT MATT MANAGES TO RAISE HER ALONE,5.623
common_voice_en_41928476.mp3,EACH STEP IS ANALOGOUS TO A MULTIPLEXING PROCESS,5.696
common_voice_en_41928510.mp3,DANA'S CHARACTER WAS NOT REPLACED,3.248
common_voice_en_41929016.mp3,PRODUCERS ON THIS RECORD INCLUDE RICK NOWELS GREGG ALEXANDER AND PETER WADE,7.388
common_voice_en_41929075.mp3,IT ALLOWS THE CHEESE TO MELT WITHOUT BECOMING GREASY,4.003
common_voice_en_41929143.mp3,RADICALS MAY APPEAR IN ANY POSITION IN A CHARACTER,6.668
common_voice_en_41929198.mp3,THE ALBUM TAKES ITS NAME FROM AN EXPERIMENTAL FILM BY KENNETH ANGER,6.848
common_voice_en_41929216.mp3,SULPHATE AND CHLORIDE SODIUM WATER IS USED FOR THERAPEUTIC BATHS AND DRINKING,4.904
common_voice_en_41929227.mp3,SHE SAW HIS DARK MAD EYES,2.816
common_voice_en_41929248.mp3,THE LOCAL BASEBALL FIELD IS NAMED FOR HIM,3.788
common_voice_en_41929259.mp3,THE LAKE IS BORDERED TO THE SOUTHWEST BY THE SINCLAIR WETLANDS,5.588
common_voice_en_41929263.mp3,FROM THEN ON HER LIFE WAS DOMINATED BY HER WESTENHOLZ FAMILY,6.343
common_voice_en_41929360.mp3,IN SOUTH AUSTRALIAN ENGLISH THE BROAD A IS USUALLY USED,4.508
common_voice_en_41929456.mp3,FOR A LONG STRETCH IT SERVES AS THE BLUE LINE THE PARK'S BOUNDARY,4.508
common_voice_en_41929498.mp3,THE CRUISERS AND HAD BEEN SENT TO GUARD THE WATERS SOUTHEAST OF ICELAND,5.875
common_voice_en_41930644.mp3,SUBSEQUENT REPORTS WERE PUBLISHED BY OTHER ORGANIZATIONS,4.688
common_voice_en_41930686.mp3,THE BOY SHRUGGED HIS SHOULDERS SLIGHTLY,4.184
common_voice_en_41948210.mp3,THESE OTHERS HE SAID IN A VOICE OF EXTREME IRRITATION,5.335
common_voice_en_41948211.mp3,THERE ARE TWO MAIN REASON FOR WHICH I THINK IT'S NOT TRUE HE SAYS,5.696
common_voice_en_41952158.mp3,THE AREA FALLS WITHIN THE WHITLEY WARD OF THE WAKEFIELD METROPOLITAN COUNCIL,8.755
common_voice_en_41952160.mp3,ITS PRECISE ORIGIN IS DIFFICULT TO PINPOINT DUE TO AMALGAMATIONS,7.784
common_voice_en_41952161.mp3,BOTH HER PARENTS WERE PROFESSIONAL ARTISTS,5.335
